Site,Date,DO (mg/L) - Top,DO (mg/L) - Bot,Fecal Coliform (#/100 mL) - Top,Fecal Coliform (#/100 mL) - Bot,Enterococcus (#/100 mL) - Top,Enterococcus (#/100 mL) - Bot,Transparency (Secchi) ft,Weather (Dry = D / Wet = W)
K5A,6/6/2017,7.38,7.36,36,NS,16,NS,4,W
K6,6/6/2017,9.59,8.97,4,NS,2,NS,4,W
N6,6/6/2017,7.74,7.33,12,NS,18,NS,2.5,W
N7,6/6/2017,7.3,7.39,24,NS,8,NS,2,W
N8,6/6/2017,7.49,7.66,28,NS,8,NS,2.5,W
NC0,6/6/2017,6.73,6.74,400,480,40,60,3,W
NC1,6/6/2017,5.94,4.86,320,110,40,10,3,W
NC2,6/6/2017,5.76,5.78,100,70,10,20,4,W
NC3,6/6/2017,6.5,6.39,50,30,10,10,3.5,W
WC1,6/6/2017,7.55,NS,320,NS,120,NS,NS,W
WC2,6/6/2017,4.29,NS,210,NS,28,NS,NS,W
WC3,6/6/2017,7.01,NS,20,NS,8,NS,NS,W
BR5,6/5/2017,6.49,6.13,91,NS,12,NS,4,D
E10,6/5/2017,8.29,6.57,1,NS,1,NS,4,D
E11,6/5/2017,8.12,NS,8,NS,1,NS,3.5,D
E14,6/5/2017,6.74,6.7,9,NS,3,NS,3.5,D
E15,6/5/2017,7.3,6.81,72,NS,18,NS,3.5,D
E2,6/5/2017,7.1,6.84,28,NS,9,NS,3,D
E4,6/5/2017,6.93,7.12,17,NS,13,NS,3,D
E6,6/5/2017,7.32,6.93,19,NS,1,NS,4,D
E7,6/5/2017,7.37,7.8,4,NS,1,NS,3.5,D
E8,6/5/2017,8.08,7.06,4,NS,2,NS,4,D
FB1,6/5/2017,7.34,6.64,56,NS,23,NS,3.5,D
FLC1,6/5/2017,6.64,6.23,761,NS,20,NS,2.5,D
FLC2,6/5/2017,6.42,6.06,188,NS,16,NS,3,D
H3,6/5/2017,7.23,6.8,25,NS,6,NS,3,D
LN1,6/5/2017,8.92,NS,20,NS,8,NS,3,D
N1,6/5/2017,7.87,6.75,9,NS,2,NS,2.5,D
N3B,6/5/2017,7.92,6.9,16,NS,3,NS,1.5,D
N4,6/5/2017,7.72,7.01,15,NS,4,NS,2,D
N5,6/5/2017,7.25,7.4,30,NS,10,NS,1.5,D
NR1,6/5/2017,7.81,6.87,19,NS,7,NS,1.5,D
CIC3,6/1/2017,7.03,7.11,320,NS,11,NS,2.5,D
G2,6/1/2017,7.74,7.12,60,NS,1,NS,2,D
GB1,6/1/2017,7.06,7.16,44,NS,3,NS,2.5,D
K1,6/1/2017,7.35,7.19,28,NS,6,NS,1.5,D
K2,6/1/2017,6.5,6.75,36,NS,3,NS,3,D
K3,6/1/2017,6.55,6.27,108,NS,8,NS,3,D
K4,6/1/2017,6.02,5.68,28,NS,5,NS,3,D
K5,6/1/2017,8.04,6.91,6,NS,1,NS,3,D
K5A,6/1/2017,7.18,6.95,10,NS,1,NS,3,D
K6,6/1/2017,8.74,8.06,4,NS,1,NS,2.5,D
N6,6/1/2017,7.5,7.49,36,NS,1,NS,2,D
N7,6/1/2017,6.69,6.92,32,NS,3,NS,1.5,D
N8,6/1/2017,6.81,7.31,90,NS,9,NS,2,D
NC0,6/1/2017,6.85,7.26,160,164,36,56,4,D
NC1,6/1/2017,4.81,4.12,460,280,20,12,4,D
NC2,6/1/2017,3.82,4.72,84,124,16,24,4,D
NC3,6/1/2017,4.79,4.52,52,16,20,8,4,D
BB2,5/31/2017,4.63,4.44,40,NS,4,NS,3.5,W
BB4,5/31/2017,5,3.9,20,NS,2,NS,5,W
GHC,5/31/2017,NS,NS,NS,NS,NS,NS,NS,NS
HOB,5/31/2017,NS,NS,NS,NS,NS,NS,NS,NS
J1,5/31/2017,6.06,6.61,10,NS,2,NS,4,W
J10,5/31/2017,6.26,6.13,20,NS,2,NS,5,W
J11,5/31/2017,6.49,6.25,112,NS,10,NS,4,W
J12,5/31/2017,6.03,3.89,16,NS,2,NS,5,W
J2,5/31/2017,5.6,6.02,8,NS,2,NS,4.5,W
J3,5/31/2017,6.16,5.95,10,NS,2,NS,5,W
J5,5/31/2017,6.42,6.19,8,NS,2,NS,5.5,W
J7,5/31/2017,5.27,5.46,36,NS,2,NS,4.5,W
J8,5/31/2017,5.6,5.47,28,NS,2,NS,5,W
J9A,5/31/2017,6.01,5.94,20,NS,2,NS,5,W
JA1,5/31/2017,6,5.49,16,NS,2,NS,4.5,W
N16,5/31/2017,6.84,6.91,2,NS,2,NS,4.5,W
N9,5/31/2017,5.67,5.02,34,NS,4,NS,3,W
N9A,5/31/2017,6.45,6.72,4,NS,2,NS,4,W
PB2,5/31/2017,5.56,4.6,40,NS,2,NS,4,W
PB3,5/31/2017,6.4,5.95,8,NS,2,NS,5,W
SP2,5/31/2017,6.43,NS,16,NS,2,NS,5,W
TB1,5/31/2017,NS,NS,NS,NS,NS,NS,NS,NS
TB2,5/31/2017,NS,NS,NS,NS,NS,NS,NS,NS
BR5,5/30/2017,6.94,6.45,132,NS,12,NS,1.5,D
E10,5/30/2017,7.6,7.73,12,NS,1,NS,3,D
E11,5/30/2017,7.26,NS,230,NS,5,NS,3,D
E14,5/30/2017,5.35,4.89,33,NS,2,NS,3,D
E15,5/30/2017,6.1,5.77,2200,NS,16,NS,2,D
E2,5/30/2017,6.14,6.65,26,NS,7,NS,2.5,D
E4,5/30/2017,6.05,5.8,29,NS,4,NS,2,D
E6,5/30/2017,6.35,6.54,48,NS,2,NS,2.5,D
E7,5/30/2017,6.48,6.24,210,NS,10,NS,3,D
E8,5/30/2017,6.99,7.31,88,NS,4,NS,3,D
F1,5/30/2017,6.51,5.3,108,NS,4,NS,NS,D
F5,5/30/2017,6.32,6.29,116,NS,8,NS,NS,D
FB1,5/30/2017,6.2,5.81,1036,NS,13,NS,2,D
FLC1,5/30/2017,4.97,4.75,5200,NS,164,NS,3,D
FLC2,5/30/2017,5.6,5.42,4300,NS,74,NS,2.5,D
H3,5/30/2017,6.35,6.53,88,NS,23,NS,0.5,D
HC1,5/30/2017,8.3,NS,38,NS,2,NS,NS,D
HC2,5/30/2017,5.45,3.34,4,NS,2,NS,NS,D
HC3,5/30/2017,6.17,5.38,20,NS,2,NS,NS,D
J14,5/30/2017,7.78,7.56,10,NS,2,NS,NS,D
J15,5/30/2017,7.96,7.31,6,NS,2,NS,NS,D
J16,5/30/2017,7.32,7.29,2,NS,2,NS,NS,D
LN1,5/30/2017,8.52,NS,21,NS,1,NS,3,D
N1,5/30/2017,7.29,6.84,21,NS,5,NS,1,D
N3B,5/30/2017,7.06,6.45,28,NS,6,NS,1,D
N4,5/30/2017,6.58,6.26,151,NS,51,NS,1,D
N5,5/30/2017,6.74,6.48,54,NS,20,NS,1,D
NR1,5/30/2017,7.08,5.5,43,NS,15,NS,1,D
AC1,5/25/2017,7.51,NS,480,NS,220,NS,NS,W
AC2,5/25/2017,7.47,NS,3500,NS,2400,NS,NS,W
BR1,5/25/2017,8.02,NS,9182,NS,21000,NS,NS,W
BR3,5/25/2017,6.14,NS,510,NS,170,NS,NS,W
F1,5/25/2017,NS,NS,NS,NS,NS,NS,NS,W
F5,5/25/2017,NS,NS,NS,NS,NS,NS,NS,W
HC1,5/25/2017,6.21,NS,50,NS,10,NS,NS,W
HC2,5/25/2017,4.68,4.12,10,NS,10,NS,NS,W
HC3,5/25/2017,NS,NS,NS,NS,NS,NS,NS,W
J14,5/25/2017,NS,NS,NS,NS,NS,NS,NS,W
J15,5/25/2017,NS,NS,NS,NS,NS,NS,NS,W
J16,5/25/2017,NS,NS,NS,NS,NS,NS,NS,W
BB2,5/24/2017,1.36,NS,4800,NS,255,NS,1.5,W
BB4,5/24/2017,3.84,3.84,300,NS,2,NS,2,W
CIC2,5/24/2017,5.21,NS,22273,NS,3700,NS,NS,W
GC3,5/24/2017,10.08,NS,20,NS,10,NS,NS,W
GC4,5/24/2017,10.01,9.96,60,40,10,10,NS,W
GC5,5/24/2017,9.9,9.86,30,30,30,10,NS,W
GC6,5/24/2017,9.39,9.55,100,110,30,50,NS,W
GHC,5/24/2017,5.57,4.91,4,NS,8,NS,6,W
HOB,5/24/2017,4.78,4.99,8,NS,2,NS,6.5,W
J1,5/24/2017,7.07,7.16,8,NS,2,NS,4.5,W
J10,5/24/2017,6.62,6.48,36,NS,2,NS,4,W
J11,5/24/2017,7.71,7.18,60,NS,8,NS,4,W
J12,5/24/2017,5.66,5.06,28,NS,2,NS,5,W
J2,5/24/2017,6.88,6.5,16,NS,2,NS,4,W
J3,5/24/2017,6.29,6.23,60,NS,2,NS,4.5,W
J5,5/24/2017,5.61,5.63,22,NS,2,NS,4.5,W
J7,5/24/2017,5.72,5.39,64,NS,4,NS,4,W
J8,5/24/2017,5.72,5.68,64,NS,2,NS,5,W
J9A,5/24/2017,6.31,6.08,84,NS,2,NS,4,W
JA1,5/24/2017,5.66,5.24,64,NS,2,NS,4.5,W
N16,5/24/2017,NS,NS,NS,NS,NS,NS,NS,NS
N9,5/24/2017,8.14,7.99,10,NS,2,NS,5.5,W
N9A,5/24/2017,8.23,7.92,2,NS,2,NS,4,W
PB2,5/24/2017,5.63,5.79,44,NS,2,NS,5,W
PB3,5/24/2017,6.39,NS,40,NS,2,NS,4,W
SP1,5/24/2017,8.69,NS,350,NS,50,NS,NS,W
SP2,5/24/2017,5.68,NS,52,NS,2,NS,4.5,W
TB1,5/24/2017,3.89,3.96,130,NS,32,NS,6,W
TB2,5/24/2017,4.1,4.02,30,NS,14,NS,6,W
CIC3,5/23/2017,NS,NS,NS,NS,NS,NS,NS,NS
E12,5/23/2017,8.82,NS,170,NS,40,NS,NS,W
E13,5/23/2017,7.3,NS,278,NS,52,NS,NS,W
G2,5/23/2017,7.81,8.1,360,NS,64,NS,4,W
GB1,5/23/2017,8.38,8.71,1400,NS,102,NS,4,W
HR03,5/23/2017,6.6,NS,8273,NS,720,NS,NS,W
HR1,5/23/2017,6.86,NS,22000,NS,430,NS,NS,W
HR2,5/23/2017,5.36,NS,6727,NS,1000,NS,NS,W
K1,5/23/2017,7.71,7.9,132,NS,52,NS,2,W
K2,5/23/2017,7.43,7.37,120,NS,28,NS,3,W
K3,5/23/2017,7.19,7.22,216,NS,34,NS,3.5,W
K4,5/23/2017,6.67,6.77,370,NS,88,NS,3.5,W
K5,5/23/2017,7.28,6.46,48,NS,16,NS,4,W
K5A,5/23/2017,7.87,7.59,68,NS,22,NS,2.5,W
K6,5/23/2017,9.71,9.64,4,NS,2,NS,4,W
N6,5/23/2017,7.91,7.91,84,NS,16,NS,1.5,W
N7,5/23/2017,7.89,8.24,60,NS,14,NS,2,W
N8,5/23/2017,8.33,8.49,116,NS,18,NS,4,W
NC0,5/23/2017,6.55,6.46,2000,4200,1420,1180,3,W
NC1,5/23/2017,5.77,5.62,2300,6000,780,1200,3,W
NC2,5/23/2017,6.54,6.15,2900,2200,620,560,3,W
NC3,5/23/2017,6.69,7.07,811,570,240,350,3,W
WC1,5/23/2017,5.71,NS,3400,NS,227,NS,NS,W
WC2,5/23/2017,3.68,NS,36000,NS,1100,NS,NS,W
WC3,5/23/2017,7.51,NS,130,NS,32,NS,NS,W
BR5,5/22/2017,7.41,7.02,230,NS,30,NS,3,W
E10,5/22/2017,8.62,7.77,2,NS,2,NS,4,W
E11,5/22/2017,8.4,NS,8,NS,4,NS,3.5,W
E14,5/22/2017,7.49,7.39,14,NS,2,NS,2.5,W
E15,5/22/2017,7.58,NS,80,NS,80,NS,2.5,W
E2,5/22/2017,8.07,7.78,20,NS,12,NS,2.5,W
E4,5/22/2017,7.94,7.76,16,NS,4,NS,3,W
E6,5/22/2017,7.62,7.85,30,NS,12,NS,3.5,W
E7,5/22/2017,8.13,8.49,4,NS,2,NS,3,W
E8,5/22/2017,8.28,8.16,4,NS,2,NS,3,W
FB1,5/22/2017,7.32,8.24,78,NS,28,NS,3,W
FLC1,5/22/2017,4.79,NS,1126,NS,415,NS,2,W
FLC2,5/22/2017,7.04,6.81,1216,NS,190,NS,3.5,W
H3,5/22/2017,7.56,8.01,40,NS,36,NS,3,W
LN1,5/22/2017,8.72,NS,24,NS,6,NS,3,W
N1,5/22/2017,8.65,7.59,20,NS,2,NS,2,W
N3B,5/22/2017,8.67,8.01,12,NS,10,NS,2,W
N4,5/22/2017,8.45,7.7,32,NS,16,NS,2,W
N5,5/22/2017,8.89,8.2,84,NS,34,NS,2.5,W
NR1,5/22/2017,8.62,7.81,20,NS,8,NS,2,W
AC1,5/18/2017,8.96,NS,3100,NS,2000,NS,NS,D
AC2,5/18/2017,8.61,NS,4800,NS,1200,NS,NS,D
BR1,5/18/2017,7.94,NS,356,NS,136,NS,NS,D
BR3,5/18/2017,8.58,NS,176,NS,116,NS,NS,D
E12,5/18/2017,9.06,NS,4,NS,4,NS,NS,D
E13,5/18/2017,7.41,NS,27,NS,2,NS,NS,D
HR03,5/18/2017,4.94,NS,470,NS,8,NS,NS,D
HR1,5/18/2017,6.81,NS,64,NS,4,NS,NS,D
HR2,5/18/2017,3.64,NS,88,NS,36,NS,NS,D
WC1,5/18/2017,6.22,NS,90,NS,16,NS,NS,D
WC2,5/18/2017,6.09,NS,290,NS,159,NS,NS,D
WC3,5/18/2017,5.55,NS,82,NS,46,NS,NS,D
CIC2,5/17/2017,7.68,NS,2000,NS,16,NS,NS,D
GC3,5/17/2017,10.34,NS,64,NS,52,NS,NS,D
GC4,5/17/2017,10.2,10.19,52,44,28,36,NS,D
GC5,5/17/2017,10.1,10.02,48,64,52,120,NS,D
GC6,5/17/2017,9.58,7.92,80,76,20,30,NS,D
SP1,5/17/2017,11.51,NS,8,NS,2,NS,NS,D
F1,5/16/2017,11.67,9.46,96,NS,2,NS,NS,D
F5,5/16/2017,11.58,9.57,30,NS,2,NS,NS,D
HC1,5/16/2017,9.16,NS,54,NS,8,NS,NS,D
HC2,5/16/2017,8.06,NS,14,NS,2,NS,NS,D
HC3,5/16/2017,9.71,8.89,16,NS,2,NS,NS,D
J14,5/16/2017,8.44,NS,2,NS,2,NS,NS,D
J15,5/16/2017,9.98,NS,4,NS,2,NS,NS,D
J16,5/16/2017,10.12,9.61,4,NS,2,NS,NS,D
AC1,5/11/2017,7.4,NS,136,NS,4,NS,NS,D
AC2,5/11/2017,6.55,NS,2909,NS,216,NS,NS,D
BR1,5/11/2017,9.74,NS,648,NS,20,NS,NS,D
BR3,5/11/2017,7.89,NS,240,NS,36,NS,NS,D
E12,5/11/2017,7.92,NS,12,NS,4,NS,NS,D
E13,5/11/2017,7.56,NS,23,NS,1,NS,NS,D
HR03,5/11/2017,4.65,NS,4100,NS,8,NS,NS,D
HR1,5/11/2017,6.57,NS,124,NS,8,NS,NS,D
HR2,5/11/2017,3.5,NS,3300,NS,4,NS,NS,D
WC1,5/11/2017,6.9,NS,270,NS,12,NS,NS,D
WC2,5/11/2017,7.95,NS,18,NS,44,NS,NS,D
WC3,5/11/2017,7.69,NS,438,NS,1,NS,NS,D
CIC2,5/10/2017,5.7,NS,44000,NS,192,NS,NS,D
GC3,5/10/2017,10.76,10.66,92,40,60,28,NS,D
GC4,5/10/2017,10.73,10.57,48,92,28,40,NS,D
GC5,5/10/2017,10.55,10.44,64,132,68,52,NS,D
GC6,5/10/2017,10,10.05,176,160,12,56,NS,D
SP1,5/10/2017,7.91,NS,4300,NS,600,NS,NS,D
F1,5/9/2017,7.12,NS,330,NS,4,NS,NS,D
F5,5/9/2017,7.5,NS,460,NS,10,NS,NS,D
HC1,5/9/2017,4.86,NS,540,NS,76,NS,NS,D
HC2,5/9/2017,5.86,NS,26,NS,6,NS,NS,D
HC3,5/9/2017,6.66,NS,80,NS,2,NS,NS,D
J14,5/9/2017,8.3,NS,12,NS,2,NS,NS,D
J15,5/9/2017,8.56,NS,16,NS,2,NS,NS,D
J16,5/9/2017,8.15,NS,28,NS,2,NS,NS,D
AC1,5/4/2017,9.12,NS,NS,NS,NS,NS,NS,NS
AC2,5/4/2017,9.27,NS,2200,NS,212,NS,NS,D
BR1,5/4/2017,10.15,NS,728,NS,64,NS,NS,D
BR3,5/4/2017,7.45,NS,136,NS,12,NS,NS,D
E12,5/4/2017,7.73,NS,8,NS,4,NS,NS,D
E13,5/4/2017,9.66,NS,14,NS,1,NS,NS,D
HR03,5/4/2017,4.58,NS,152,NS,16,NS,NS,D
HR1,5/4/2017,5.5,NS,84,NS,8,NS,NS,D
HR2,5/4/2017,2.67,NS,310,NS,28,NS,NS,D
WC1,5/4/2017,9.3,NS,114,NS,7,NS,NS,D
WC2,5/4/2017,5.15,NS,106,NS,42,NS,NS,D
WC3,5/4/2017,9.64,NS,136,NS,6,NS,NS,D
CIC2,5/3/2017,5.09,NS,24000,NS,600,NS,NS,D
GC3,5/3/2017,10.14,NS,44,NS,32,NS,NS,D
GC4,5/3/2017,10.14,10.13,272,148,92,84,NS,D
GC5,5/3/2017,9.88,NS,132,NS,48,NS,NS,D
GC6,5/3/2017,9.71,9.38,192,232,76,104,NS,D
SP1,5/3/2017,9.84,NS,8,NS,4,NS,NS,D
F1,5/2/2017,8.15,NS,156,NS,8,NS,NS,D
F5,5/2/2017,8.26,NS,64,NS,2,NS,NS,D
HC1,5/2/2017,8.11,NS,236,NS,46,NS,NS,D
HC2,5/2/2017,4.85,NS,90,NS,16,NS,NS,D
HC3,5/2/2017,6.54,NS,30,NS,4,NS,NS,D
J14,5/2/2017,7.89,NS,16,NS,4,NS,NS,D
J15,5/2/2017,8.36,NS,10,NS,2,NS,NS,D
J16,5/2/2017,8.22,8.21,40,NS,2,NS,NS,D
F1,4/12/2017,8,7.42,360,NS,10,NS,NS,D
F5,4/12/2017,7.97,8.2,550,NS,22,NS,NS,D
HC1,4/12/2017,5.51,NS,64,NS,36,NS,NS,D
HC2,4/12/2017,7.4,NS,44,NS,20,NS,NS,D
HC3,4/12/2017,7.93,7.93,52,NS,2,NS,NS,D
J14,4/12/2017,8.96,9.03,4,NS,2,NS,NS,D
J15,4/12/2017,8.84,8.62,2,NS,2,NS,NS,D
J16,4/12/2017,9.51,9.49,6,NS,2,NS,NS,D
CIC2,4/11/2017,9.02,NS,2800,NS,280,NS,NS,D
GC3,4/11/2017,12.19,12.47,60,72,16,30,NS,D
GC4,4/11/2017,12.12,12.34,124,96,8,40,NS,D
GC5,4/11/2017,12.2,12.26,20,44,24,32,NS,D
GC6,4/11/2017,11.44,11.94,96,128,48,56,NS,D
SP1,4/11/2017,7.01,NS,8,NS,12,NS,NS,D
AC1,4/6/2017,11.82,NS,2300,NS,1400,NS,NS,W
AC2,4/6/2017,12.06,NS,380,NS,430,NS,NS,W
BR1,4/6/2017,10.09,NS,856,NS,400,NS,NS,W
BR3,4/6/2017,10.6,NS,320,NS,370,NS,NS,W
E12,4/6/2017,12.41,NS,40,NS,10,NS,NS,W
E13,4/6/2017,10.74,NS,40,NS,36,NS,NS,W
HR03,4/6/2017,NS,NS,NS,NS,NS,NS,NS,NS
HR1,4/6/2017,NS,NS,NS,NS,NS,NS,NS,NS
HR2,4/6/2017,NS,NS,NS,NS,NS,NS,NS,NS
WC1,4/6/2017,11.57,NS,230,NS,152,NS,NS,W
WC2,4/6/2017,11.94,NS,120,NS,208,NS,NS,W
WC3,4/6/2017,10.84,NS,40,NS,12,NS,NS,W
BB2,4/5/2017,5.47,4.49,40,NS,168,NS,3,W
BB4,4/5/2017,7.42,7.44,50,NS,20,NS,5,W
GHC,4/5/2017,8.1,7.17,20,NS,4,NS,6,W
HOB,4/5/2017,7.69,7.99,136,NS,30,NS,4,W
J1,4/5/2017,8.87,8.88,8,NS,2,NS,5.5,W
J10,4/5/2017,8.4,8.8,12,NS,4,NS,5,W
J11,4/5/2017,10.36,10.98,4,NS,2,NS,4.5,W
J12,4/5/2017,8.04,7.1,12,NS,4,NS,5,W
J2,4/5/2017,9.66,8.84,8,NS,2,NS,5,W
J3,4/5/2017,8.79,8.7,4,NS,4,NS,6,W
J5,4/5/2017,8.05,8,24,NS,6,NS,6,W
J7,4/5/2017,7.75,7.97,20,NS,4,NS,5.5,W
J8,4/5/2017,8.17,7.73,40,NS,4,NS,5,W
J9A,4/5/2017,9.18,8.99,44,NS,4,NS,6,W
JA1,4/5/2017,7.49,7.57,24,NS,2,NS,5,W
N16,4/5/2017,NS,NS,NS,NS,NS,NS,NS,NS
N9,4/5/2017,9.58,9.76,28,NS,10,NS,4,W
N9A,4/5/2017,11.03,11.06,6,NS,6,NS,4,W
PB2,4/5/2017,8,7.17,152,NS,8,NS,4.5,W
PB3,4/5/2017,8.35,8.49,8,NS,6,NS,5.5,W
SP2,4/5/2017,8.89,NS,16,NS,2,NS,5.5,W
TB1,4/5/2017,6.77,6.92,200,NS,107,NS,4.5,W
TB2,4/5/2017,6.61,7.24,56,NS,20,NS,4,W
CIC3,4/4/2017,10.18,9.54,1306,NS,660,NS,3.5,W
G2,4/4/2017,11.13,10.74,270,NS,284,NS,2.5,W
GB1,4/4/2017,10.45,10.85,38,NS,720,NS,3,W
K1,4/4/2017,12.01,10.9,252,NS,160,NS,2,W
K2,4/4/2017,11.21,11.7,188,NS,139,NS,4,W
K3,4/4/2017,10.84,10.69,320,NS,324,NS,3,W
K4,4/4/2017,9.92,9.69,257,NS,272,NS,3,W
K5,4/4/2017,10.53,9.43,40,NS,48,NS,3,W
K5A,4/4/2017,10.7,9.4,20,NS,34,NS,3,W
K6,4/4/2017,NS,NS,NS,NS,NS,NS,NS,NS
N6,4/4/2017,11.43,10.69,242,NS,196,NS,1.5,W
N7,4/4/2017,11.35,10.22,490,NS,460,NS,2,W
N8,4/4/2017,12.02,10.41,243,NS,247,NS,2,W
NC0,4/4/2017,5.57,4.22,50000,7364,17900,6000,1.5,W
NC1,4/4/2017,6.55,5.5,41000,6545,12800,3100,1,W
NC2,4/4/2017,7.78,6.81,25000,5700,13400,5300,1.5,W
NC3,4/4/2017,7.17,6.96,1189,1135,860,1000,1.5,W
BR5,4/3/2017,12.36,12.68,14,NS,19,NS,2.5,D
E10,4/3/2017,12.23,11.5,3,NS,1,NS,3,D
E11,4/3/2017,13.13,NS,5,NS,1,NS,3,D
E14,4/3/2017,11.04,10.72,11,NS,12,NS,2.5,D
E15,4/3/2017,11.86,12.45,24,NS,32,NS,3.5,D
E2,4/3/2017,10.5,10.71,47,NS,56,NS,3,D
E4,4/3/2017,10.63,11.17,15,NS,15,NS,2,D
E6,4/3/2017,10.99,11.34,7,NS,12,NS,3,D
E7,4/3/2017,10.95,11.47,11,NS,6,NS,3,D
E8,4/3/2017,11.79,11.34,7,NS,7,NS,3.5,D
FB1,4/3/2017,11.96,11.97,20,NS,14,NS,2.5,D
FLC1,4/3/2017,11.3,11.81,260,NS,192,NS,3,D
FLC2,4/3/2017,11.67,11.76,112,NS,68,NS,2,D
H3,4/3/2017,11.2,11.17,98,NS,96,NS,1,D
LN1,4/3/2017,14.24,NS,2,NS,1,NS,3,D
N1,4/3/2017,12.86,12.92,124,NS,52,NS,1,D
N3B,4/3/2017,12.27,11.19,149,NS,72,NS,0.5,D
N4,4/3/2017,12.32,10.74,92,NS,50,NS,1,D
N5,4/3/2017,11.71,10.42,88,NS,78,NS,1,D
NR1,4/3/2017,12.57,11.74,117,NS,64,NS,0.5,D
BB2,3/29/2017,10.8,10.45,775,NS,176,NS,2,W
BB4,3/29/2017,11.6,11.53,130,NS,26,NS,3,W
GHC,3/29/2017,11.4,11.18,12,NS,2,NS,3.5,W
HOB,3/29/2017,12.66,11.85,48,NS,4,NS,3,W
J1,3/29/2017,12.14,11.44,12,NS,2,NS,4,W
J10,3/29/2017,10.9,10.96,4,NS,2,NS,4,W
J11,3/29/2017,10.94,10.54,36,NS,20,NS,5,W
J12,3/29/2017,14,11.62,22,NS,2,NS,3,W
J2,3/29/2017,11.5,11.42,4,NS,2,NS,4,W
J3,3/29/2017,10.75,11.08,16,NS,2,NS,4,W
J5,3/29/2017,11.99,11.89,34,NS,4,NS,3,W
J7,3/29/2017,12.33,11.6,40,NS,14,NS,3,W
J8,3/29/2017,11.92,11.56,8,NS,6,NS,3.5,W
J9A,3/29/2017,11.11,11.45,8,NS,4,NS,3.5,W
JA1,3/29/2017,12,11.7,20,NS,8,NS,3,W
N16,3/29/2017,11.55,12.15,2,NS,2,NS,6.5,W
N9,3/29/2017,10.55,10.7,2,NS,2,NS,6,W
N9A,3/29/2017,10.96,10.94,2,NS,2,NS,5,W
PB2,3/29/2017,11.99,12.1,30,NS,2,NS,3.5,W
PB3,3/29/2017,11.49,11.32,4,NS,2,NS,4,W
SP2,3/29/2017,11.46,10.59,32,NS,2,NS,3,W
TB1,3/29/2017,10.63,10.62,580,NS,92,NS,1.5,W
TB2,3/29/2017,11.56,11.6,180,NS,20,NS,2,W
CIC2,3/27/2017,9.56,NS,35000,NS,9400,NS,NS,W
GC3,3/27/2017,12.63,12.56,10,140,10,10,NS,W
GC4,3/27/2017,12.61,12.55,10,10,10,10,NS,W
GC5,3/27/2017,12.57,12.47,10,20,10,10,NS,W
GC6,3/27/2017,12.29,12.32,30,20,30,20,NS,W
SP1,3/27/2017,13.88,NS,270,NS,290,NS,NS,W
AC1,3/23/2017,10.73,NS,204,NS,48,NS,NS,D
AC2,3/23/2017,9.06,NS,3400,NS,400,NS,NS,D
BR1,3/23/2017,12.72,NS,1364,NS,116,NS,NS,D
BR3,3/23/2017,11.11,NS,12,NS,4,NS,NS,D
E12,3/23/2017,11.18,NS,4,NS,4,NS,NS,D
E13,3/23/2017,11.64,NS,1,NS,1,NS,NS,D
HR03,3/23/2017,10.48,NS,84,NS,20,NS,NS,D
HR1,3/23/2017,10.79,NS,72,NS,16,NS,NS,D
HR2,3/23/2017,9.86,NS,350,NS,56,NS,NS,D
WC1,3/23/2017,10.91,NS,34,NS,12,NS,NS,D
WC2,3/23/2017,9.76,NS,46,NS,24,NS,NS,D
WC3,3/23/2017,11.54,NS,2,NS,2,NS,NS,D
F1,3/21/2017,16.28,13.58,50,NS,4,NS,NS,W
F5,3/21/2017,16.38,14.37,10,NS,4,NS,NS,W
HC1,3/21/2017,9.73,NS,10,NS,10,NS,NS,W
HC2,3/21/2017,15.75,NS,10,NS,10,NS,NS,W
HC3,3/21/2017,16.65,16.44,10,NS,10,NS,NS,W
J14,3/21/2017,15.42,15.28,4,NS,4,NS,NS,W
J15,3/21/2017,15.97,15.74,4,NS,4,NS,NS,W
J16,3/21/2017,15.32,14.38,4,NS,4,NS,NS,W
CIC3,3/8/2017,11.3,10.65,60,NS,12,NS,3,W
G2,3/8/2017,11.09,10.56,4,NS,2,NS,2.5,W
GB1,3/8/2017,10.37,10.6,10,NS,6,NS,3.5,W
K1,3/8/2017,10.56,10.08,40,NS,8,NS,3.5,W
K2,3/8/2017,10.55,10.42,12,NS,4,NS,3.5,W
K3,3/8/2017,10.73,10.36,16,NS,10,NS,4.5,W
K4,3/8/2017,10.72,10.48,12,NS,4,NS,3.5,W
K5,3/8/2017,10.64,10.34,40,NS,12,NS,5,W
K5A,3/8/2017,10.77,9.57,28,NS,4,NS,4,W
K6,3/8/2017,NS,NS,NS,NS,NS,NS,NS,NS
N6,3/8/2017,10.81,9.96,40,NS,18,NS,1,W
N7,3/8/2017,10.79,10.2,8,NS,10,NS,2,W
N8,3/8/2017,10.31,9.86,4,NS,2,NS,3,W
NC0,3/8/2017,7.98,8.15,200,210,90,80,3,W
NC1,3/8/2017,10.5,10.2,1540,883,620,510,3.5,W
NC2,3/8/2017,10.58,9.97,720,410,535,180,3,W
NC3,3/8/2017,10.34,10.19,685,390,280,120,3,W
BR5,3/7/2017,11.22,11.45,18,NS,15,NS,4,D
E10,3/7/2017,11.86,11.1,3,NS,4,NS,5,D
E11,3/7/2017,12.77,11.23,26,NS,5,NS,3,D
